,reg,reg_abs,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_188,0.0934,0.0032,0.004,0.004,0.0013,0.0013
feature_189,-0.0523,0.0018,0.0039,0.0039,0.0016,0.0016
feature_190,-0.0158,0.0005,0.0037,0.0037,0.0014,0.0014
feature_191,-0.0311,0.0011,0.0046,0.0046,0.0016,0.0016
feature_192,-0.0114,0.0004,0.0048,0.0048,0.0016,0.0016
feature_193,0.0022,1e-04,0.0047,0.0047,0.0018,0.0018
feature_194,0.0271,0.0009,0.0047,0.0047,0.002,0.002
feature_195,0.0115,0.0004,0.0042,0.0042,0.0017,0.0017
feature_196,0.0268,0.0009,0.0047,0.0047,0.0018,0.0018
feature_197,0.051,0.0018,0.0041,0.0041,0.0014,0.0014
feature_198,0.0048,0.0002,0.0051,0.0051,0.0021,0.0021
feature_199,0.0295,0.001,0.004,0.004,0.0013,0.0013
feature_200,-0.0182,0.0006,0.0041,0.0041,0.0015,0.0015
feature_201,-0.0061,0.0002,0.0044,0.0044,0.0016,0.0016
feature_202,-0.0167,0.0006,0.0042,0.0042,0.0015,0.0015
feature_203,0.0137,0.0005,0.0054,0.0054,0.0022,0.0022
feature_204,0.0349,0.0012,0.0038,0.0038,0.0014,0.0014
feature_205,0.0288,0.001,0.0043,0.0043,0.0015,0.0015
feature_206,-0.037,0.0013,0.0037,0.0037,0.0014,0.0014
feature_207,0.0218,0.0008,0.0051,0.0051,0.0018,0.0018
feature_208,0.017,0.0006,0.0053,0.0053,0.002,0.002
feature_209,-0.069,0.0024,0.0049,0.0049,0.0017,0.0017
feature_210,-0.0283,0.001,0.0043,0.0043,0.0017,0.0017
feature_211,-0.0025,1e-04,0.0045,0.0045,0.0017,0.0017
feature_212,-0.0794,0.0027,0.0045,0.0045,0.0016,0.0016
feature_213,0.0303,0.001,0.0036,0.0036,0.0015,0.0015
feature_214,-0.0264,0.0009,0.0045,0.0045,0.0018,0.0018
feature_215,0.0067,0.0002,0.0046,0.0046,0.0017,0.0017
feature_216,0.0049,0.0002,0.005,0.005,0.0018,0.0018
feature_217,0.0161,0.0006,0.0039,0.0039,0.0014,0.0014
feature_218,-0.0167,0.0006,0.0042,0.0042,0.0015,0.0015
feature_219,0.0294,0.001,0.0037,0.0037,0.0015,0.0015
feature_220,-0.0434,0.0015,0.004,0.004,0.0015,0.0015
feature_221,-0.0202,0.0007,0.004,0.004,0.0014,0.0014
feature_222,0.0378,0.0013,0.0039,0.0039,0.0015,0.0015
feature_223,0.0092,0.0003,0.0037,0.0037,0.0013,0.0013
feature_224,0.0159,0.0006,0.0047,0.0047,0.0018,0.0018
feature_225,0.0114,0.0004,0.0037,0.0037,0.0014,0.0014
feature_226,-0.0398,0.0014,0.0038,0.0038,0.0014,0.0014
feature_227,0.0133,0.0005,0.0046,0.0046,0.0019,0.0019
feature_228,0.0104,0.0004,0.0038,0.0038,0.0015,0.0015
feature_229,0.0342,0.0012,0.0044,0.0044,0.0015,0.0015
feature_230,-0.0082,0.0003,0.004,0.004,0.0013,0.0013
feature_231,0.0036,1e-04,0.0045,0.0045,0.0018,0.0018
feature_232,0.0239,0.0008,0.0041,0.0041,0.0015,0.0015
feature_233,-0.0578,0.002,0.0035,0.0035,0.0013,0.0013
feature_234,-0.033,0.0011,0.0039,0.0039,0.0014,0.0014
feature_235,0.0193,0.0007,0.0041,0.0041,0.0016,0.0016
feature_236,0.0076,0.0003,0.0042,0.0042,0.0015,0.0015
feature_237,-0.0244,0.0008,0.0042,0.0042,0.0016,0.0016
feature_238,0.0265,0.0009,0.0038,0.0038,0.0014,0.0014
feature_239,0.0057,0.0002,0.0045,0.0045,0.0018,0.0018
feature_240,-0.0537,0.0019,0.0037,0.0037,0.0013,0.0013
feature_241,0.0277,0.001,0.0043,0.0043,0.0017,0.0017
feature_242,-0.0202,0.0007,0.0046,0.0046,0.0017,0.0017
feature_243,-0.0115,0.0004,0.0049,0.0049,0.0018,0.0018
feature_244,-0.0278,0.001,0.0039,0.0039,0.0016,0.0016
feature_245,0.0291,0.001,0.005,0.005,0.0018,0.0018
feature_246,-0.0218,0.0008,0.0043,0.0043,0.0015,0.0015
feature_247,0.053,0.0018,0.0053,0.0053,0.0021,0.0021
feature_248,-0.0095,0.0003,0.0037,0.0037,0.0013,0.0013
feature_249,-0.0257,0.0009,0.0047,0.0047,0.0018,0.0018
feature_250,0.0093,0.0003,0.0043,0.0043,0.0017,0.0017
feature_251,0.0358,0.0012,0.0038,0.0038,0.0013,0.0013
feature_252,-0.0121,0.0004,0.0054,0.0054,0.0022,0.0022
feature_253,0.0046,0.0002,0.0046,0.0046,0.0016,0.0016
feature_254,0.0196,0.0007,0.0047,0.0047,0.0018,0.0018
feature_255,0.0301,0.001,0.004,0.004,0.0013,0.0013
feature_256,-0.0116,0.0004,0.0041,0.0041,0.0016,0.0016
feature_257,-0.0738,0.0026,0.0041,0.0041,0.0016,0.0016
feature_258,0.0874,0.003,0.0047,0.0047,0.0018,0.0018
feature_259,0.0093,0.0003,0.0052,0.0052,0.0022,0.0022
feature_260,0.0267,0.0009,0.0045,0.0045,0.0017,0.0017
feature_261,0.003,1e-04,0.0049,0.0049,0.0018,0.0018
feature_262,0.0187,0.0006,0.0044,0.0044,0.0016,0.0016
feature_263,-0.0769,0.0027,0.0035,0.0035,0.0012,0.0012
feature_264,-0.0189,0.0007,0.0036,0.0036,0.0013,0.0013
feature_265,-0.0045,0.0002,0.0046,0.0046,0.0018,0.0018
feature_266,0.0129,0.0004,0.0038,0.0038,0.0013,0.0013
feature_267,0.0323,0.0011,0.0044,0.0044,0.0017,0.0017
feature_268,-0.0344,0.0012,0.0043,0.0043,0.0016,0.0016
feature_269,0.0335,0.0012,0.0043,0.0043,0.0017,0.0017
feature_270,0.0217,0.0008,0.0048,0.0048,0.0018,0.0018
feature_271,-0.0272,0.0009,0.0039,0.0039,0.0014,0.0014
feature_272,0.0199,0.0007,0.004,0.004,0.0014,0.0014
feature_273,0.0144,0.0005,0.0047,0.0047,0.0018,0.0018
feature_274,-0.0049,0.0002,0.0046,0.0046,0.0017,0.0017
feature_275,0.0041,1e-04,0.0039,0.0039,0.0013,0.0013
feature_276,-0.0325,0.0011,0.0038,0.0038,0.0013,0.0013
feature_277,-0.0082,0.0003,0.0041,0.0041,0.0014,0.0014
feature_278,-0.0016,1e-04,0.0042,0.0042,0.0015,0.0015
feature_279,0.0277,0.001,0.0038,0.0038,0.0014,0.0014
feature_280,-0.0097,0.0003,0.0057,0.0057,0.0022,0.0022
feature_281,-0.0118,0.0004,0.0046,0.0046,0.0017,0.0017
feature_282,0.0728,0.0025,0.004,0.004,0.0014,0.0014
feature_283,-0.0389,0.0013,0.0055,0.0055,0.002,0.002
feature_284,-0.0053,0.0002,0.0044,0.0044,0.0017,0.0017
feature_285,0.0801,0.0028,0.0043,0.0043,0.0016,0.0016
feature_286,-0.0575,0.002,0.0043,0.0043,0.0016,0.0016
feature_287,0.0205,0.0007,0.0041,0.0041,0.0016,0.0016
feature_288,-0.0237,0.0008,0.0048,0.0048,0.0018,0.0018
feature_289,-0.0202,0.0007,0.0043,0.0043,0.0017,0.0017
feature_290,0.0428,0.0015,0.0038,0.0038,0.0014,0.0014
feature_291,-0.003,1e-04,0.005,0.005,0.0021,0.0021
feature_292,0.0126,0.0004,0.0046,0.0046,0.0017,0.0017
feature_293,-0.0194,0.0007,0.004,0.004,0.0015,0.0015
feature_294,0.0742,0.0026,0.0048,0.0048,0.0019,0.0019
feature_295,-0.0304,0.0011,0.0049,0.0049,0.0019,0.0019
feature_296,0.0217,0.0008,0.0038,0.0038,0.0014,0.0014
feature_297,0.0645,0.0022,0.0044,0.0044,0.0016,0.0016
feature_298,-0.0632,0.0022,0.004,0.004,0.0016,0.0016
feature_299,0.0404,0.0014,0.0039,0.0039,0.0015,0.0015
feature_300,0.021,0.0007,0.0048,0.0048,0.0017,0.0017
feature_301,0.0459,0.0016,0.0038,0.0038,0.0014,0.0014
feature_302,-0.0658,0.0023,0.0041,0.0041,0.0016,0.0016
feature_303,0.0332,0.0011,0.004,0.004,0.0014,0.0014
feature_304,0.0219,0.0008,0.0048,0.0048,0.0016,0.0016
feature_305,-0.0877,0.003,0.0041,0.0041,0.0016,0.0016
feature_306,0.0572,0.002,0.0045,0.0045,0.0018,0.0018
feature_307,-0.0012,0.0,0.0038,0.0038,0.0013,0.0013
feature_308,-0.0583,0.002,0.0043,0.0043,0.0016,0.0016
feature_309,0.0375,0.0013,0.0037,0.0037,0.0014,0.0014
feature_310,-0.0145,0.0005,0.0051,0.0051,0.0017,0.0017
feature_311,-0.062,0.0021,0.0051,0.0051,0.0019,0.0019
feature_312,0.0135,0.0005,0.0042,0.0042,0.0016,0.0016
