,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_464,-0.1427,0.0049,0.0226,0.0192,0.0228,0.0209,0.0225,0.0225,0.0218,0.0226,0.175,0.0008,0.0012,0.0014,0.0017,0.0012,0.0032,0.0012,0.0021,0.0128
feature_465,-0.1877,0.0065,0.0324,0.019,0.0306,0.0273,0.0376,0.0275,0.0302,0.0318,0.2363,0.0022,0.0009,0.0011,0.0023,0.0014,0.0013,0.0009,0.0022,0.0124
feature_466,0.4328,0.015,0.031,0.0179,0.0299,0.0245,0.0333,0.0276,0.0285,0.031,0.2236,0.0015,0.0013,0.0014,0.0015,0.0025,0.0019,0.0008,0.0018,0.0128
feature_467,-0.2401,0.0083,0.0291,0.0176,0.0274,0.024,0.0323,0.0241,0.0258,0.0279,0.2084,0.0006,0.0011,0.0013,0.0023,0.0009,0.0021,0.0013,0.0018,0.0115
feature_468,0.0616,0.0021,0.0285,0.0167,0.0273,0.0228,0.0295,0.0248,0.0259,0.0287,0.2041,0.0015,0.0011,0.0039,0.0013,0.0015,0.0016,0.0012,0.0023,0.0144
feature_469,-0.2297,0.0079,0.0309,0.0154,0.0307,0.0211,0.0305,0.0277,0.0277,0.032,0.2161,0.0018,0.0007,0.0018,0.0021,0.0009,0.0017,0.0012,0.0013,0.0115
feature_470,0.3034,0.0105,0.0255,0.0164,0.0255,0.0195,0.0249,0.0239,0.024,0.0266,0.1863,0.001,0.0009,0.0012,0.0008,0.0029,0.0014,0.0029,0.0007,0.0118
feature_471,-0.0789,0.0027,0.0216,0.0237,0.0217,0.0231,0.0222,0.0239,0.0227,0.0219,0.1808,0.0007,0.0009,0.0017,0.0008,0.0014,0.0011,0.0014,0.0006,0.0086
feature_472,-0.0003,0.0,0.0182,0.0208,0.0189,0.0184,0.0169,0.0185,0.0188,0.0184,0.1489,0.0011,0.0008,0.0012,0.0007,0.0006,0.0013,0.0013,0.0008,0.0077
feature_473,0.032,0.0011,0.0249,0.0195,0.0251,0.0233,0.0274,0.0238,0.0259,0.0262,0.1961,0.0014,0.0013,0.0011,0.0013,0.0014,0.0023,0.0009,0.0017,0.0113
feature_474,0.0203,0.0007,0.0358,0.0222,0.0369,0.0245,0.0331,0.0379,0.0347,0.0394,0.2645,0.0009,0.0093,0.0014,0.0018,0.0007,0.0018,0.0019,0.0021,0.0199
feature_475,0.0402,0.0014,0.037,0.0213,0.0357,0.0247,0.0379,0.0327,0.0349,0.0407,0.2649,0.002,0.0012,0.0036,0.0028,0.0038,0.001,0.001,0.0024,0.018
feature_476,-0.0574,0.002,0.0396,0.0209,0.036,0.0279,0.043,0.0339,0.0377,0.0438,0.2828,0.0014,0.001,0.0029,0.0032,0.0017,0.0026,0.0013,0.0029,0.017
feature_477,0.0385,0.0013,0.0337,0.0235,0.0316,0.0281,0.0369,0.0314,0.0331,0.036,0.2542,0.0048,0.0013,0.0034,0.0029,0.0014,0.0024,0.0006,0.0019,0.0188
feature_478,-0.0149,0.0005,0.0439,0.0218,0.0412,0.0284,0.0454,0.0374,0.0406,0.048,0.3066,0.0037,0.0015,0.0021,0.0036,0.0017,0.0026,0.0015,0.0012,0.0179
feature_479,-0.1834,0.0063,0.0348,0.0297,0.0299,0.0382,0.0459,0.0384,0.0373,0.0383,0.2924,0.002,0.0009,0.0014,0.001,0.0035,0.0017,0.0007,0.0131,0.0245
feature_480,0.0651,0.0023,0.0361,0.019,0.0333,0.028,0.0404,0.0284,0.032,0.0345,0.2518,0.0018,0.0012,0.0022,0.0014,0.0047,0.0017,0.0014,0.0013,0.0157
feature_481,0.0053,0.0002,0.0365,0.0176,0.0339,0.0262,0.0401,0.0291,0.0313,0.0353,0.2501,0.0013,0.0024,0.0022,0.0015,0.0008,0.0021,0.0009,0.0015,0.0127
feature_482,-0.0218,0.0008,0.0365,0.0233,0.0353,0.032,0.0425,0.0332,0.0352,0.0365,0.2746,0.001,0.002,0.0016,0.0069,0.0011,0.0029,0.0008,0.0014,0.0176
feature_483,0.0114,0.0004,0.0278,0.0262,0.0264,0.0254,0.0303,0.0254,0.0262,0.0263,0.2139,0.0013,0.0012,0.0023,0.0014,0.0014,0.0018,0.0011,0.0016,0.012
feature_484,-0.022,0.0008,0.0273,0.0274,0.0243,0.034,0.0302,0.0287,0.029,0.0244,0.2253,0.0006,0.0013,0.0015,0.0008,0.0014,0.0019,0.0024,0.0015,0.0114
